code;libelle;niveau;code_parent;code_famille;libelle_famille;section;categorie_principale;categorie_metier;profil_formulaire;ordre_affichage
232.999;Autres bâtiments administratifs à usage de logement;ARTICLE;232;232;BATIMENTS ADMINISTRATIFS A USAGE DE LOGEMENT;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;232999
233.002;Bâtiment de laboratoire;ARTICLE;233;233;BATIMENTS ADMINISTRATIFS A USAGE TECHNIQUE;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;233002
233.003;Bâtiment des soins de santé;ARTICLE;233;233;BATIMENTS ADMINISTRATIFS A USAGE TECHNIQUE;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;233003
233.004;Bâtiment pédagogique;ARTICLE;233;233;BATIMENTS ADMINISTRATIFS A USAGE TECHNIQUE;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;233004
233.005;Acquisition de bâtiments à usage agricole;ARTICLE;233;233;BATIMENTS ADMINISTRATIFS A USAGE TECHNIQUE;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;233005
233.006;Construction de bâtiments à usage agricole;ARTICLE;233;233;BATIMENTS ADMINISTRATIFS A USAGE TECHNIQUE;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;233006
233.007;Aménagement de bâtiments à usage agricole;ARTICLE;233;233;BATIMENTS ADMINISTRATIFS A USAGE TECHNIQUE;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;233007
233.008;Clôture;ARTICLE;233;233;BATIMENTS ADMINISTRATIFS A USAGE TECHNIQUE;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;233008
233.009;Grosse réparation des bâtiments à usage technique;ARTICLE;233;233;BATIMENTS ADMINISTRATIFS A USAGE TECHNIQUE;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;233009
233.010;Hangar;ARTICLE;233;233;BATIMENTS ADMINISTRATIFS A USAGE TECHNIQUE;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;233010
233.011;Guérite;ARTICLE;233;233;BATIMENTS ADMINISTRATIFS A USAGE TECHNIQUE;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;233011
233.012;Immeuble à niveaux à usage technique;ARTICLE;233;233;BATIMENTS ADMINISTRATIFS A USAGE TECHNIQUE;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;233012
233.013;Local pour vigile;ARTICLE;233;233;BATIMENTS ADMINISTRATIFS A USAGE TECHNIQUE;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;233013
233.014;Local de groupe électrogène;ARTICLE;233;233;BATIMENTS ADMINISTRATIFS A USAGE TECHNIQUE;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;233014
